OTUId	B15S-01	B15S-02	B15S-03	B15S-04	B15S-05	B15S-06	B15S-07	B15S-08	B15S-09	B15S-10	B15S-11	B15S-12	B15S-13	B15S-14	B15S-15	B15S-16	B15S-17	B15S-18	B15S-19	B15SII-02	B16SI-01	B17SI-01	B17SI-02	B17SI-03	B17SI-05	B17SI-06	B17SI-07	B17SI-08	B17SI-09	B17SI-10	medium1	medium2	negative1	negative2	standard1	standard2
16S16Szotu7	2171	1707	11	1	0	10	12	4	697	19	110	421	2582	340	24	26	38	79	1718	2312	12125	3879	10	2631	15	2197	25	7	1155	66	0	0	3	10	1	2
16Szotu11	2314	89	121	2293	1533	207	5985	1148	238	1065	232	221	681	1449	958	0	0	29	739	27	3336	6	0	133	569	0	522	71	6	30	0	0	0	1	0	0
16Szotu10	1555	4	100	94	68	8139	70	2211	188	20	0	8	7	1037	25	0	233	456	85	1170	1	4	76	1838	1978	2949	1299	586	77	735	0	0	0	0	0	0
16Szotu5	2731	3903	5181	27	15	851	14	1903	136	701	30	407	1890	394	621	275	154	300	825	6	85	0	0	8363	1049	6919	3812	5197	2689	5542	0	0	1	0	2	0
16Szotu2	5909	4327	3500	6571	2604	2697	4060	2741	672	1308	1563	1817	3160	3796	2484	3050	835	1151	1238	462	230	6373	1706	5487	6555	6008	3362	1937	3795	1618	52	26	19	11	7	18
16Szotu6	3703	2849	1627	4498	5277	4538	9339	4700	1749	1573	101	1547	1254	911	647	0	2059	449	1581	8	0	4	0	7	3	1	3	0	0	1	0	2	1	1	0	0
16Szotu167	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16Szotu33	44	188	75	140	224	180	38	183	21	117	8	29	89	71	141	159	43	111	255	3	0	0	0	3	226	0	126	7	920	67	19	7	9	13	0	0
16Szotu1	880	3509	1812	8613	3232	4787	4316	1288	518	770	3488	1794	2239	385	7166	5317	1064	3958	1007	7528	5881	17535	5339	2612	7513	9288	5945	2483	7545	4829	23	5	14	12	2	2
16Szotu162	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16Szotu193	36	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	46	1	0	0	0	0	0	0	0	12	0	0	0	0
16Szotu3	108	4544	4714	1734	471	2852	71	2801	2040	3807	326	2924	1006	2041	7132	10705	3982	1561	1205	2013	2008	1	8854	7003	59	1632	1094	7324	4400	4146	6	3	2	0	2	0
16Szotu13	1030	2	30	0	0	1744	20	3325	10	0	0	1160	8	8	8	0	1	0	122	1	3	0	2	1416	1539	1	10	1796	2004	158	0	0	0	0	0	0
16Szotu9	3	12	323	396	181	944	2323	718	139	317	1872	392	10	5488	4376	612	136	2154	14	6	14	17	198	11	1501	750	791	124	8	396	6	2	3	1	0	1
16Szotu20	744	1	0	0	0	6495	4	1	25	0	1	2	0	12	5	0	13	69	0	0	0	0	0	1	326	10	0	91	28	0	0	0	0	0	0	0
16Szotu94	101	46	15	2	2	0	0	57	21	13	2	7	94	3	17	12	5	7	73	15	0	0	0	0	0	24	0	0	0	1	0	0	0	0	0	0
16Szotu93	258	0	0	261	2	16	6	10	0	0	2	0	0	1	0	1	0	3	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
16Szotu55	173	92	0	53	22	1	251	1	51	1	31	67	346	0	0	28	0	28	331	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16Szotu45	987	30	0	0	0	0	1	0	0	0	0	297	143	279	2	0	0	32	306	82	1	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0
16Szotu186	23	0	0	0	0	0	2	0	18	4	0	0	0	8	0	0	0	4	0	0	6	0	17	0	0	0	0	0	0	1	0	0	0	0	0	0
16Szotu179	29	0	3	0	0	74	0	45	0	0	0	0	0	3	1	0	2	2	1	0	0	0	0	124	32	177	42	36	2	53	0	0	0	0	0	0
16Szotu142	33	1	0	4	0	106	0	1	0	1	0	0	2	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16Szotu89	396	0	0	0	0	0	0	0	0	0	0	0	0	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0
16Szotu18	102	272	314	859	136	72	269	167	39	43	176	75	114	138	198	94	34	55	51	103	510	1282	136	581	650	98	376	59	644	137	15	10	7	15	6	8
16Szotu288	41	32	22	0	0	24	0	68	3	10	0	4	10	2	5	0	3	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
