	zOTU	ID	Domain	Phylum	Class	Order	Family	Genus	Species
16Szotu2	zotu2	AM418384_S000768523	d:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Xanthomonadales	f:Xanthomonadaceae	g:Pseudoxanthomonas	s:Pseudoxanthomonas_spadix
16Szotu3	zotu3	AY636000_S000548442	d:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhizobiales	f:Phyllobacteriaceae	g:Phyllobacterium	s:Phyllobacterium_catacumbae
16Szotu1	zotu1	JN175337_S002916781	d:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Enterobacteriales	f:Enterobacteriaceae	g:Erwinia	
16Szotu10	zotu10	JN015213_S002953847	d:Bacteria	p:Bacteroidetes	c:Sphingobacteriia	o:Sphingobacteriales	f:Sphingobacteriaceae	g:Sphingobacterium	s:Sphingobacterium_detergens
16Szotu13	zotu13	DQ166169_S001872723	d:Bacteria	p:Bacteroidetes	c:Flavobacteriia	o:Flavobacteriales	f:Flavobacteriaceae	g:Chryseobacterium	s:Chryseobacterium_xinjiangense
16Szotu19	zotu19	EF591302_S000871527	d:Bacteria	p:Bacteroidetes	c:Flavobacteriia	o:Flavobacteriales	f:Flavobacteriaceae	g:Chryseobacterium	s:Chryseobacterium_soli
16Szotu20	zotu20	JX046042_S003300944	d:Bacteria	p:Bacteroidetes	c:Sphingobacteriia	o:Sphingobacteriales	f:Sphingobacteriaceae	g:Sphingobacterium	s:Sphingobacterium_caeni
16Szotu21	zotu21	EU189132_S001020373	d:Bacteria	p:Cyanobacteria/Chloroplast	c:Chloroplast	o:Chloroplast	f:Chloroplast	g:Streptophyta	
16Szotu22	zotu22	CP076232.1	d:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Enterobacteriales	f:Enterobacteriaceae	g:Escherichia	s:Escherichia_coli
16Szotu23	zotu23	AY468448_S000572729	d:Bacteria	p:Bacteroidetes	c:Flavobacteriia	o:Flavobacteriales	f:Flavobacteriaceae	g:Chryseobacterium	s:Chryseobacterium_indoltheticum
16Szotu25	zotu25	CP084532.1	d:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Enterobacteriales	f:Enterobacteriaceae	g:Salmonella	s:Salmonella_enterica
16Szotu26	zotu26	AB267716_S000721196	d:Bacteria	p:Bacteroidetes	c:Sphingobacteriia	o:Sphingobacteriales	f:Sphingobacteriaceae	g:Olivibacter	s:Olivibacter_ginsengisoli
16Szotu28	zotu28	AM263420_S000701215	d:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhizobiales	f:Brucellaceae	g:Pseudochrobactrum	
16Szotu29	zotu29	DQ359689_S001020519	d:Bacteria	p:Cyanobacteria/Chloroplast	c:Chloroplast	o:Chloroplast	f:Chloroplast	g:Streptophyta	
