Sample-ID	Sample	Tree	Stages	Phase	Group	weight_mg	Sample_or_Control
B15S-16	B15S-16	B15S	adults	Phase3	adults	30	True Sample
B15S-18	B15S-18	B15S	adults	Phase3	adults	30	True Sample
B15S-19	B15S-19	B15S	adults	Phase3	adults	30	True Sample
B16SI-01	B16SI-01	B16SI	adults	Phase3	adults	50	True Sample
B17SI-09	B17SI-09	B17SI	larva	Phase1	larvae	20	True Sample
B15S-04	B15S-04	B15S	larva	Phase1	larvae	<10	True Sample
B15S-14	B15S-14	B15S	larva-adults	Phase2	larvae-adults	10	True Sample
B15S-15	B15S-15	B15S	larva-adults	Phase2	larvae-adults	20	True Sample
B15S-17	B15S-17	B15S	larva-adults	Phase2	larvae-adults	50	True Sample
B15SII-02	B15SII-02	B15SII	larva-adults	Phase2	larvae-adults	50	True Sample
B17SI-10	B17SI-10	B17SI	larva-pupa	Phase1	larva-pupa	10	True Sample
B15S-01	B15S-01	B15S	larvae	Phase1	larvae	10	True Sample
medium1	medium1	medium	neg-control1	medium	medium	NA	Control Sample
standard	standard	standard	pos-control	standard	standard	NA	True Sample
negative1	negative1	negative	neg-control2	negative	negative	NA	Control Sample
B15S-02	B15S-02	B15S	larvae	Phase1	larvae	30	True Sample
B15S-03	B15S-03	B15S	larvae	Phase1	larvae	10	True Sample
B15S-06	B15S-06	B15S	larvae	Phase1	larvae	10	True Sample
B15S-07	B15S-07	B15S	larvae	Phase1	larvae	<10	True Sample
B15S-08	B15S-08	B15S	larvae	Phase1	larvae	20	True Sample
B17SI-03	B17SI-03	B17SI	larvae	Phase1	larvae	10	True Sample
B17SI-05	B17SI-05	B17SI	larvae	Phase1	larvae	10	True Sample
B17SI-06	B17SI-06	B17SI	larvae	Phase1	larvae	30	True Sample
B17SI-07	B17SI-07	B17SI	larvae	Phase1	larvae	10	True Sample
B15S-05	B15S-05	B15S	larvae-adults	Phase2	larvae-adults	20	True Sample
B15S-09	B15S-09	B15S	larvae-adults	Phase2	larvae-adults	10	True Sample
B15S-12	B15S-12	B15S	larvae-adults	Phase2	larvae-adults	30	True Sample
B15S-13	B15S-13	B15S	larvae-adults	Phase2	larvae-adults	30	True Sample
B17SI-08	B17SI-08	B17SI	larvae-pupae-adults	Phase2	larvae-pupae-adults	<10	True Sample
B17SI-01	B17SI-01	B17SI	larvae-pupae-adults	Phase2	larvae-pupae-adults	60	True Sample
B17SI-02	B17SI-02	B17SI	larvae-pupae-adults	Phase2	larvae-pupae-adults	30	True Sample
B15S-10	B15S-10	B15S	larvae-pupae-adults	Phase2	larvae-pupae-adults	20	True Sample
B15S-11	B15S-11	B15S	larvae-pupae-adults	Phase2	larvae-pupae-adults	20	True Sample
medium2	medium2	medium	neg-control1	medium	medium	NA	Control Sample
mock	mock	mock	pos-control	mock	mock	NA	Control Sample
negative2	negative2	negative	neg-control2	negative	negative	NA	True Sample
