OTUId	B15S-01	B15S-02	B15S-03	B15S-04	B15S-05	B15S-06	B15S-07	B15S-08	B15S-09	B15S-10	B15S-11	B15S-12	B15S-13	B15S-14	B15S-15	B15S-16	B15S-17	B15S-18	B15S-19	B15SII-02	B16SI-01	B17SI-01	B17SI-02	B17SI-03	B17SI-05	B17SI-06	B17SI-07	B17SI-08	B17SI-09	B17SI-10	medium1	medium2	negative2	negative1	mock	standard
LSUzotu3	6736	1879	2	1	0	8	11	2	1254	4	61	4052	4272	32	43	251	27	4143	11	9481	945	886	20	1780	22	8911	10	0	2307	14	4	0	2	1	3187	0
LSUzotu1	11350	13054	33246	25162	16987	10974	19585	24632	13405	2936	6407	631	4674	710	9301	8414	2604	4367	252	36	130	27069	12341	9950	20387	10441	20687	8966	10380	8539	36	396	1	4	1	1
LSUzotu14	78	135	867	357	344	28	722	821	407	4	136	0	34	0	606	115	29	22	3	159	10	704	531	573	1355	142	854	63	594	27	1	1	0	0	181	0
LSUzotu15	1943	902	0	0	1	0	0	0	577	2	44	241	837	18	24	52	5	577	0	232	33	591	11	1151	11	1704	8	0	876	2	0	0	0	0	0	0
LSUzotu27	807	565	455	149	303	394	282	312	619	195	158	55	477	7	561	789	76	490	1	4	4	570	831	458	849	1840	1044	561	649	485	1	0	0	0	0	0
LSUzotu70	346	213	0	0	0	0	0	0	111	0	6	2	135	0	1	11	0	100	0	0	0	105	0	98	0	610	3	0	125	0	0	0	0	0	0	0
LSUzotu17	34	93	593	241	242	14	376	593	228	8	115	2	12	5	527	80	35	15	4	24	96	459	392	467	945	49	604	43	457	19	0	2	0	1	0	0
LSUzotu12	3943	0	0	6	6	0	0	88	0	0	0	3	0	257	2	0	4	0	0	24	6	0	11	2	0	23	1	3	5	4734	0	0	0	0	0	0
LSUzotu38	509	436	56	0	34	50	32	28	221	0	7	27	313	1	3	81	0	158	0	0	1	352	15	94	28	1165	47	7	205	4	0	0	0	0	0	0
LSUzotu101	349	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	15	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
LSUzotu57	437	346	1	2	0	0	0	0	121	0	1	6	122	1	1	7	1	30	0	0	1	362	2	66	1	354	8	1	257	0	0	0	0	0	0	0
LSUzotu59	328	0	0	2	0	0	0	12	0	0	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	348	0	0	0	0	0	0
LSUzotu139	302	0	0	3	0	0	0	24	0	0	0	0	0	2	0	0	1	0	0	0	0	0	6	0	0	0	0	0	0	283	0	0	0	0	0	0
LSUzotu43	11	154	43	368	494	74	12	134	194	1	2	1	49	0	5	23	0	11	0	0	0	0	38	0	56	9	57	8	2	43	0	0	0	0	0	0
LSUzotu204	59	19	0	0	0	0	0	0	13	0	1	1	25	0	0	0	0	29	0	0	0	12	0	7	0	143	0	0	22	1	0	0	0	0	0	0
LSUzotu4	642	476	1727	1436	893	594	1028	1196	3467	76	587	57	255	19	3231	1129	280	259	100	2313	2023	2050	1525	1719	4032	1027	3590	307	3398	299	763	661	2	89	1353	3
LSUzotu247	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LSUzotu253	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LSUzotu184	165	0	0	0	0	0	0	14	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	163	0	0	0	0	0	0
LSUzotu208	131	0	0	0	0	3	0	5	0	0	1	0	0	0	0	107	24	0	0	0	0	0	49	0	0	0	3	0	0	180	0	0	0	0	0	0
LSUzotu42	86	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	2	0	0	0	79	0	0	0	0	0	0
LSUzotu40	22	32	215	78	78	16	80	95	63	0	14	0	8	0	73	24	1	0	0	0	0	218	111	61	343	36	331	11	74	1	0	0	0	0	0	0
LSUzotu135	104	0	0	0	0	0	0	6	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0
LSUzotu55	437	0	0	0	4	0	0	40	0	0	0	0	0	36	1	0	2	0	0	0	0	0	3	0	0	0	0	0	0	562	0	0	0	0	0	0
LSUzotu50	2	2	19	11	10	1	21	13	10	0	3	0	0	0	4	0	1	0	0	0	0	41	14	4	51	7	53	0	4	0	0	0	0	0	0	0
LSUzotu2	370	1338	131	2348	3193	10223	49	374	3739	2871	136	4922	3536	3	159	1499	85	3674	32	66	6691	0	292	29	346	496	289	422	17	2396	15	1	0	40	1	0
LSUzotu11	51	96	0	22	1	610	0	318	0	44	0	0	0	0	15	0	10	0	0	0	8299	0	0	0	0	0	1	0	1	3	1	0	0	0	0	0
LSUzotu490	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LSUzotu76	115	97	0	1	0	0	0	0	34	0	0	2	78	0	0	0	0	17	0	3	0	71	0	14	2	139	0	0	38	0	0	0	0	0	0	0
LSUzotu54	14	153	33	277	427	128	18	94	243	14	0	0	65	0	10	32	1	22	0	0	0	0	43	0	52	18	33	15	1	58	1	0	0	0	0	0
LSUzotu305	5	3	0	0	0	12	0	5	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LSUzotu34	26	25	319	204	85	3	204	250	66	0	9	0	5	0	97	9	0	1	0	0	0	460	98	29	372	26	402	8	127	6	0	0	0	0	0	0
LSUzotu393	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LSUzotu23	48	85	315	166	170	53	277	207	160	1	38	0	9	0	218	75	4	7	0	1	0	377	249	114	718	72	824	14	191	16	1	0	0	0	0	0
LSUzotu246	30	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	23	0	0	0	0	0	0
LSUzotu18	62	508	78	1301	2176	1235	36	465	1455	318	61	114	464	4	67	313	38	381	0	0	174	0	177	13	157	55	90	105	2	399	4	0	0	0	0	0
LSUzotu332	24	12	0	0	0	0	0	0	8	0	0	0	13	1	0	0	0	2	0	0	0	1	0	4	0	26	0	0	3	0	0	0	0	0	0	0
LSUzotu175	37	49	163	147	42	18	79	73	57	1	8	0	12	0	167	22	1	2	0	0	0	174	77	13	334	29	281	8	168	9	0	0	0	0	0	0
