	zOTU	ID	Kingdom	Phylum	Class	Order	Family	Genus	Species
LSUzotu7	zotu7	Ss	k:Fungi	p:Ascomycota	c:Sordariomycetes	o:Ophiostomatales	f:Ophiostomataceae	g:Sporothrix	s:Sporothrix_stenoceras
LSUzotu4	zotu4	27HJ11_05677863_05677863	k:Fungi	p:Ascomycota	c:Sordariomycetes	o:Ophiostomatales	f:Ophiostomataceae	g:Raffaelea	s:Raffaelea_sulphurea
LSUzotu3	zotu3	27HJ13_05677900_05677900	k:Fungi	p:Ascomycota	c:Sordariomycetes	o:Ophiostomatales	f:Ophiostomataceae	g:Raffaelea	s:Raffaelea_canadensis
LSUzotu17	zotu17	27HJ11_05677863_05677863	k:Fungi	p:Ascomycota	c:Sordariomycetes	o:Ophiostomatales	f:Ophiostomataceae	g:Raffaelea	s:Raffaelea_sulphurea
LSUzotu13	zotu13	Cg	k:Fungi	p:Ascomycota	c:Sordariomycetes	o:Sordariales	f:Chaetomiaceae	g:Chaetomium	s:Chaetomium_globosum
LSUzotu15	zotu15	27HJ13_05677900_05677900	k:Fungi	p:Ascomycota	c:Sordariomycetes	o:Ophiostomatales	f:Ophiostomataceae	g:Raffaelea	s:Raffaelea_canadensis
LSUzotu30	zotu30	27HJ13_05677900_05677900	k:Fungi	p:Ascomycota	c:Sordariomycetes	o:Ophiostomatales	f:Ophiostomataceae	g:Raffaelea	s:Raffaelea_canadensis
LSUzotu33	zotu33	27HJ11_05677863_05677863	k:Fungi	p:Ascomycota	c:Sordariomycetes	o:Ophiostomatales	f:Ophiostomataceae	g:Raffaelea	s:Raffaelea_sulphurea
LSUzotu37	zotu37	Cg	k:Fungi	p:Ascomycota	c:Sordariomycetes	o:Sordariales	f:Chaetomiaceae	g:Chaetomium	s:Chaetomium_globosum
LSUzotu63	zotu63	Cg	k:Fungi	p:Ascomycota	c:Sordariomycetes	o:Sordariales	f:Chaetomiaceae	g:Chaetomium	s:Chaetomium_globosum
LSUzotu71	zotu71	Ss	k:Fungi	p:Ascomycota	c:Sordariomycetes	o:Ophiostomatales	f:Ophiostomataceae	g:Sporothrix	s:Sporothrix_stenoceras
LSUzotu97	zotu97	27HJ11_05677863_05677863	k:Fungi	p:Ascomycota	c:Sordariomycetes	o:Ophiostomatales	f:Ophiostomataceae	g:Raffaelea	s:Raffaelea_sulphurea
LSUzotu114	zotu114	Ss	k:Fungi	p:Ascomycota	c:Sordariomycetes	o:Ophiostomatales	f:Ophiostomataceae	g:Sporothrix	s:Sporothrix_stenoceras
