Sample-ID	Sample	Lineage	Phase	Development	Development_Phase	Dispersal	Dispersal_Phase	weight_mg	notes	Sample_or_Control
A2-04	A2-04	A2	phase1	medium	medium1	early	early1	50	normal	True Sample
A2-18	A2-18	A2	phase1	slow	slow1	middle	middle1	130	normal	True Sample
A2-30	A2-30	A2	phase1	fast	fast1	late	late1	80	normal	True Sample
medium1	medium1	NA	neg	control1	control1	control1	control1	NA	normal	Control Sample
standard1	standard1	NA	pos	control	control	control	control	NA	normal	True Sample
negative1	negative1	NA	neg	control2	control2	control2	control2	NA	normal	Control Sample
A3-03	A3-03	A3	phase1	medium	medium1	early	early1	40	normal	True Sample
A3-07	A3-07	A3	phase1	slow	slow1	early	early1	40	normal	True Sample
A3-27	A3-27	A3	phase1	fast	fast1	middle	middle1	90	normal	True Sample
A3-51	A3-51	A3	phase1	medium	medium1	late	late1	60	normal	True Sample
B10-13	B10-13	B10	phase1	medium	medium1	early	early1	<10	normal	True Sample
B10-14	B10-14	B10	phase1	slow	slow1	early	early1	<10	normal	True Sample
B15-15	B15-15	B15	phase1	fast	fast1	early	early1	<10	2nd-attempt	True Sample
B15-37	B15-37	B15	phase1	medium	medium1	middle	middle1	30	normal	True Sample
B15-42	B15-42	B15	phase1	medium	medium1	late	late1	120	normal	True Sample
B16-34	B16-34	B16	phase1	slow	slow1	late	late1	50	normal	True Sample
B22-01	B22-01	B22	phase1	medium	medium1	early	early1	60	normal	True Sample
B22-15	B22-15	B22	phase1	slow	slow1	late	late1	70	2nd-attempt	True Sample
B23-02	B23-02	B23	phase1	slow	slow1	early	early1	50	normal	True Sample
B23-10	B23-10	B23	phase1	medium	medium1	early	early1	60	normal	True Sample
B23-29	B23-29	B23	phase1	medium	medium1	middle	middle1	60	normal	True Sample
B24-03	B24-03	B24	phase1	medium	medium1	middle	middle1	80	normal	True Sample
B24-19	B24-19	B24	phase1	slow	slow1	late	late1	30	normal	True Sample
B24-35	B24-35	B24	phase1	medium	medium1	late	late1	50	normal	True Sample
B26-05	B26-05	B26	phase1	medium	medium1	early	early1	<10	white_fungus	True Sample
B26-11	B26-11	B26	phase1	medium	medium1	middle	middle1	50	normal	True Sample
B31-02	B31-02	B31	phase1	medium	medium1	early	early1	30	normal	True Sample
medium2	medium2	NA	neg	control1	control1	control1	control1	NA	normal	Control Sample
standard2	standard2	NA	pos	control	control	control	control	NA	normal	True Sample
negative2	negative2	NA	neg	control2	control2	control2	control2	NA	normal	Control Sample
B31-13	B31-13	B31	phase1	slow	slow1	early	early1	70	normal	True Sample
B31-16	B31-16	B31	phase1	slow	slow1	middle	middle1	120	white_fungus	True Sample
B36-04	B36-04	B36	phase1	medium	medium1	early	early1	30	normal	True Sample
B36-08	B36-08	B36	phase1	medium	medium1	early	early1	30	normal	True Sample
B36-12	B36-12	B36	phase1	slow	slow1	middle	middle1	60	normal	True Sample
