OTUId	A2-02	A2-03	A2-04	A2-12	A2-16	A2-18	A2-19	A2-24	A2-27	A2-30	A3-01	A3-03	A3-07	A3-09	A3-10	A3-15	A3-17	A3-24	A3-25	A3-26	A3-27	A3-35	A3-39	A3-51	B10-13	B10-14	B10-15	B10-16	B10-28	B10-29	B10-30	B15-03	B15-05	B15-08	B15-14	B15-15	B15-27	B15-28	B15-32	B15-34	B15-35	B15-37	B15-42	B15-43	B16-33	B16-34	B22-01	B22-03	B22-05	B22-08	B22-09	B22-13	B22-15	B23-01	B23-02	B23-05	B23-10	B23-12	B23-14	B23-18	B23-28	B23-29	B23-31	B23-32	B24-03	B24-04	B24-05	B24-12	B24-16	B24-17	B24-19	B24-24	B24-25	B24-34	B24-35	B26-03	B26-04	B26-05	B26-11	B31-02	B31-03	B31-05	B31-08	B31-12	B31-13	B31-16	B32-10	B33-03	B36-01	B36-02	B36-04	B36-05	B36-08	B36-11	B36-12	B36-21	B36-25	B36-26	B36-28	B36-37	B36-38	B36-39	B39-01	B39-03	B39-06	B39-08	B39-09	B39-19	B39-20	B39-21	B39-22	B39-27	B39-28	B39-30	B44-01	B44-02	B44-04	B44-10	B44-20	B44-26	B44-27	B44-34	B44-37	B44-44	B44-58	B46-01	B46-05	B46-08	B46-12	B46-13	B46-14	B46-20	B49-02	B49-03	B49-07	B49-08	B49-11	B49-12	B49-15	B49-20	B49-21	B56-01	B56-02	B56-06	B56-15	B56-19	B56-25	B56-37	B56-45	B56-59	medium1	medium2	medium3	medium4	medium5	medium6	medium7	negative1	negative2	negative3	negative4	negative5	negative6	negative7	standard1	standard2	standard3	standard4	standard5	standard6	standard7
16Szotu2	17526	30372	12699	21615	16992	12465	3247	18885	17946	2604	25	67	73	8	6345	36	73	186	47	41	77	19216	9553	9212	87	95	36	94	15	53	15736	43	57	148	25	118	56	22	10	51	66	96	114	11021	20441	45531	45	30	42	47	147	23	22	74	47	25	67	135	21	27	34	74	36861	15269	3137	6656	5882	14335	10606	10897	2100	11245	14402	17398	4370	30061	20067	10451	13798	99	103	25	183	74	37	35	23082	20681	30176	22423	12670	23681	16228	14934	6855	11527	17142	20078	18187	19884	4546	18203	70	76	98	40	195	13	56	17642	14215	15129	69	24102	18	26	50	14346	25	18019	30	53	6436	9278	11	3903	23433	8742	10845	23894	44	6591	23792	22836	8411	16516	23944	15571	17090	11645	6838	16575	14360	24377	10487	21618	20073	13131	5612	5651	68	66	50	21	30	154	15	20	19	17	16	19	22	15	31	43	11	11	10	5	8
16Szotu1	2982	6558	16337	2623	6493	15498	76	697	5043	12266	11530	34501	8413	18787	87	10711	9202	23231	11177	2118	22055	7740	1518	23702	17645	25001	29226	13547	26088	16726	4552	13532	5159	6136	20271	18637	7780	21036	10649	251	9966	29834	19074	303	10	28	18657	12224	9172	3223	791	3645	12874	21310	104	9390	16359	16703	29905	20540	39495	7955	15402	679	1424	494	2612	767	5392	5972	697	1374	3346	2741	8796	108	14	53	65	46	61	50	42	30	65	52	15	1027	4859	4909	9437	11954	14230	10023	10032	2861	1618	7240	3200	2783	10005	2715	16706	9089	15049	4862	17292	3106	735	8814	13352	140	15371	21882	10117	22113	16943	2322	7310	23749	3394	21362	1092	15669	6181	97	8	50	73	35	5764	51	5639	2805	6328	13008	2172	1230	4590	15571	1755	1139	10821	5206	15051	2205	5949	7652	3661	16876	24	20	23	6	12	91	1	28	31	21	10	13	89	7	19	27	20	6	22	91	6
16Szotu4	1217	3049	1135	1084	1764	1034	24	88	2707	291	8616	2601	274	5945	27	3548	3631	7918	4017	700	925	1842	1091	1652	3156	2859	6088	3947	3	20	19	2	19	5	6	8	18	2	3	9	5	29	13	10	2562	316	5	8	2	6	14	0	7	7359	14	3227	6083	5607	12903	5861	3	24	437	97	222	256	306	101	2069	2315	243	698	832	648	1215	17	2	9	27	9	38	6	11	6	9	18	6207	364	2890	1502	269	3700	3284	4490	1328	1100	269	3719	897	997	860	473	4173	3058	893	3111	4034	1234	456	5234	1633	26	9624	7583	1	3	11	6	1	16	0	23	4	23	2	8916	2167	5742	7107	3240	3	28585	4743	739	1919	2193	491	287	1243	2844	844	63	1093	4688	1780	2246	2540	2196	65	659	4	5	8	2	9	7	1	5	1	3	4	4	6	2	5	7	0	2	4	54	2
16Szotu43	17	2	2	0	7	20	3	0	7	0	18	0	0	33	0	55	74	73	0	0	5	0	0	0	22	80	45	0	15	1	11	39	38	6	9	3	69	7	20	0	0	96	1	0	65	14	22	0	17	0	0	0	22	0	0	58	0	61	6	4	48	0	29	0	0	1	0	1	1	2	0	4	5	4	1	0	2	2	9	0	17	27	19	0	0	0	0	0	5	1	0	23	0	6	6	2	7	8	0	9	1	59	3	0	124	29	0	10	0	7	0	1	0	9	17	15	3	1	7	0	11	0	0	0	28	0	5	7	2	3	53	26	6	0	1	4	2	0	0	1	1	17	0	0	0	0	0	1	0	10	55	173	132	130	0	0	30	56	217	149	159	20	14	29	0	0	0	0	0	0	0
16Szotu348	4	0	0	3	0	0	0	4	0	0	0	0	0	0	0	0	24	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16Szotu10	4	74	13	3	119	218	19	2	96	13	459	10	2	664	19	909	2050	1929	22	2	22	4	2	7	17	19	1110	32	728	40	6	876	44	102	249	84	844	556	399	5	1	1133	85	0	566	240	515	9	16	12	4	2	488	10	2	26	20	42	46	214	1613	3	525	7	2	18	10	3	37	45	0	54	80	64	3	3	79	14	154	37	40	537	600	1	8	0	4	0	98	18	5	227	0	68	3	2	3	148	7	77	1	768	37	88	1301	782	23	246	4	1	0	25	6	149	448	606	28	4	188	1	244	8	15	2	468	21	117	9	21	14	1021	285	93	1	23	36	2	1	0	2	22	152	3	8	2	103	5	0	11	3	1730	2990	2566	2648	89	87	64	1077	3958	3443	2868	407	526	224	5	9	7	8	0	0	0
16Szotu41	17	1	2	0	1	0	0	1	26	0	0	0	2	6	0	3	97	259	97	20	0	2	0	3	4	0	37	103	14	66	30	0	174	28	4	0	14	0	8	6	92	1	0	0	8	8	0	2	22	3	24	22	58	53	0	152	0	117	5	0	28	1	2	0	0	0	0	1	2	1	0	0	7	5	0	87	0	9	7	10	20	4	3	73	0	0	0	2	0	8	0	14	0	1	0	6	22	0	5	4	0	0	3	217	0	102	29	62	1	2	3	0	1	0	0	0	2	0	5	0	95	4	0	0	19	40	3	116	76	23	78	13	0	2	1	0	18	6	5	0	0	36	0	10	0	13	1	5	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16Szotu3	22	6	13	11	5	6	6	10	8	8	4	67	11	3	0	3	3	3	52	10	11	7	9	49	4	33	16	7	21	32	9	23446	7033	11067	14031	1578	8608	18368	10317	194	11224	579	2453	621	6	1	5603	9942	7389	5318	4335	14642	5139	32	84	1	14	5	2	60	129	9	4	15	20	9	11	6	8	4	11	3	1	4	38	12603	13566	12602	6587	18307	30507	12410	30275	21370	34060	1349	3	3	9	4	7	12	6	8	8	6	14	1	10	4	17	3	20	3	14	10	10	3	10	10	6	7	3	0	7679	3089	10599	33	6108	1289	2866	1028	596	1115	4356	14	4	9	35	26	5111	9	4	1	4	19	4	0	5	26	0	0	5	1	2	20	2	7	7	6	0	0	1	1	3	5	3	16	21	10	5	4	57	6	3	2	4	2	1	4	0
16Szotu128	8	0	0	4	0	0	4	4	0	0	0	0	0	0	1	0	62	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	4	0	4	0	0	0	7	8	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
16Szotu116	13	0	0	6	0	0	2	5	0	0	0	0	0	0	0	0	87	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	4	0	2	0	0	0	5	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
