		ID	Domain	Phylum	Class	Order	Family	Genus	Species
16Szotu2	zotu2	AM418384_S000768523	d:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Xanthomonadales	f:Xanthomonadaceae	g:Pseudoxanthomonas	s:Pseudoxanthomonas_spadix
16Szotu6	zotu6	FJ717338_S002156657	d:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Enterobacteriales	f:Enterobacteriaceae	g:Yersinia	s:Yersinia_nurmii
16Szotu7	zotu7	Z93440_S000381585	d:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Pseudomonadales	f:Moraxellaceae	g:Acinetobacter	s:Acinetobacter_johnsonii
16Szotu5	zotu5	JN175337_S002916781	d:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Enterobacteriales	f:Enterobacteriaceae	g:Erwinia	
16Szotu9	zotu9	CP076232.1	d:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Enterobacteriales	f:Enterobacteriaceae	g:Escherichia	s:Escherichia_coli
16Szotu10	zotu10	EU189132_S001020373	d:Bacteria	p:Cyanobacteria/Chloroplast	c:Chloroplast		f:Chloroplast	g:Streptophyta	
16Szotu11	zotu11	JN175332_S002916776	d:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Enterobacteriales	f:Enterobacteriaceae	g:Pantoea	
16Szotu12	zotu12	CP084532.1	d:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Enterobacteriales	f:Enterobacteriaceae	g:Salmonella	s:Salmonella_enterica
16Szotu14	zotu14	DQ359689_S001020519	d:Bacteria	p:Cyanobacteria/Chloroplast	c:Chloroplast		f:Chloroplast	g:Streptophyta	
16Szotu17	zotu17	OK360620.1	d:Bacteria	p:Firmicutes	c:Bacilli	o:Bacillales	f:Staphylococcaceae	g:Staphylococcus	s:Staphylococcus_aureus
16Szotu18	zotu18	OK360923.1	d:Bacteria	p:Firmicutes	c:Bacilli	o:Lactobacillales	f:Enterococcaceae	g:Enterococcus	s:Enterococcus_faecalis
16Szotu22	zotu22	OK428682.1	d:Bacteria	p:Firmicutes	c:Bacilli	o:Bacillales	f:Bacillaceae_1	g:Bacillus	s:Bacillus_subtilis
16Szotu21	zotu21	JN175337_S002916781	d:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Enterobacteriales	f:Enterobacteriaceae	g:Erwinia	
16Szotu23	zotu23	JN175331_S002916775	d:Bacteria	p:Firmicutes	c:Bacilli	o:Lactobacillales	f:Lactobacillaceae	g:Lactobacillus	s:Lactobacillus_fermentum
16Szotu24	zotu24	AF268968_S000390413	d:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Pseudomonadales	f:Pseudomonadaceae	g:Pseudomonas	s:Pseudomonas_brenneri
16Szotu25	zotu25	DQ442560_S000775896	d:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Actinomycetales	f:Streptomycetaceae	g:Streptomyces	s:Streptomyces_xanthophaeus
16Szotu26	zotu26	MW857131.2	d:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Pseudomonadales	f:Pseudomonadaceae	g:Pseudomonas	s:Pseudomonas_aeruginosa
16Szotu27	zotu27	MT633107.1	d:Bacteria	p:Firmicutes	c:Bacilli	o:Bacillales	f:Listeriaceae	g:Listeria	s:Listeria_monocytogenes
16Szotu28	zotu28	DQ359689_S001020519	d:Bacteria	p:Cyanobacteria/Chloroplast	c:Chloroplast		f:Chloroplast	g:Streptophyta	
16Szotu29	zotu29	AB248875_S000711011	d:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Actinomycetales	f:Microbacteriaceae	g:Microbacterium	s:Microbacterium_pygmaeum
16Szotu31	zotu31	JF295055_S002910969	d:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Enterobacteriales	f:Enterobacteriaceae	g:Pantoea	s:Pantoea_rwandensis
16Szotu32	zotu32	EF688010_S001187454	d:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Enterobacteriales	f:Enterobacteriaceae	g:Pantoea	s:Pantoea_anthophila
16Szotu33	zotu33	AB680380_S003262271	d:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Enterobacteriales	f:Enterobacteriaceae	g:Salmonella	
16Szotu35	zotu35	AB004748_S000381743	d:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Enterobacteriales	f:Enterobacteriaceae	g:Pluralibacter	
16Szotu37	zotu37	AM501435_S000964798	d:Bacteria	p:Proteobacteria	c:Betaproteobacteria	o:Burkholderiales	f:Comamonadaceae	g:Pelomonas	s:Pelomonas_aquatica
16Szotu39	zotu39	AJ250801_S000007789	d:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhizobiales	f:Methylobacteriaceae	g:Methylobacterium	s:Methylobacterium_fujisawaense
16Szotu42	zotu42	AB042240_S000495537	d:Bacteria	p:Cyanobacteria/Chloroplast	c:Chloroplast		f:Chloroplast	g:Streptophyta	
16Szotu45	zotu45	AB190217_S000376345	d:Bacteria	p:Firmicutes	c:Bacilli	o:Bacillales	f:Bacillaceae_1	g:Bacillus	s:Bacillus_anthracis
16Szotu44	zotu44	GQ379228_S001610569	d:Bacteria	p:Proteobacteria	c:Betaproteobacteria	o:Burkholderiales	f:Oxalobacteraceae	g:Undibacterium	s:Undibacterium_oligocarboniphilum
16Szotu47	zotu47	HM047743_S002167808	d:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Pseudomonadales	f:Moraxellaceae	g:Acinetobacter	s:Acinetobacter_indicus
16Szotu48	zotu48	HQ157192_S002234067	d:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Actinomycetales	f:Nocardiaceae	g:Williamsia	s:Williamsia_limnetica
16Szotu50	zotu50	X92417_S000021340	d:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Oceanospirillales	f:Halomonadaceae	g:Halomonas	s:Halomonas_desiderata
16Szotu54	zotu54	HE978271_S003288366	d:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Pseudomonadales	f:Pseudomonadaceae	g:Pseudomonas	s:Pseudomonas_aeruginosa
16Szotu55	zotu55	HQ844973_S002410689	d:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Actinomycetales	f:Microbacteriaceae	g:Microbacterium	s:Microbacterium_panaciterrae
16Szotu58	zotu58	AJ640133_S000324025	d:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Oceanospirillales	f:Halomonadaceae	g:Halomonas	s:Halomonas_alkaliphila
16Szotu60	zotu60	EF380351_S001020332	d:Bacteria	p:Cyanobacteria/Chloroplast	c:Chloroplast		f:Chloroplast	g:Streptophyta	
16Szotu59	zotu59	EF178282_S000776602	d:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Alteromonadales	f:Shewanellaceae	g:Shewanella	s:Shewanella_haliotis
16Szotu62	zotu62	AJ550856_S000117304	d:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Pseudomonadales	f:Moraxellaceae	g:Enhydrobacter	s:Enhydrobacter_aerosaccus
16Szotu63	zotu63	AY741342_S000425929	d:Bacteria	p:Proteobacteria	c:Betaproteobacteria	o:Burkholderiales	f:Burkholderiaceae	g:Ralstonia	s:Ralstonia_pickettii
16Szotu66	zotu66	AB030583_S000010130	d:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Pseudomonadales	f:Pseudomonadaceae	g:Pseudomonas	s:Pseudomonas_alcaliphila
16Szotu65	zotu65	Y10764_S000012797	d:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Xanthomonadales	f:Xanthomonadaceae	g:Xanthomonas	s:Xanthomonas_bromi
16Szotu67	zotu67	AF177666_S000388692	d:Bacteria	p:Proteobacteria	c:Betaproteobacteria	o:Burkholderiales	f:Alcaligenaceae	g:Bordetella	s:Bordetella_avium
16Szotu68	zotu68	AB248875_S000711011	d:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Actinomycetales	f:Microbacteriaceae	g:Microbacterium	s:Microbacterium_pygmaeum
16Szotu71	zotu71	AJ250801_S000007789	d:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhizobiales	f:Methylobacteriaceae	g:Methylobacterium	s:Methylobacterium_fujisawaense
16Szotu76	zotu76	KM206131_S004232789	d:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Pseudomonadales	f:Moraxellaceae	g:Acinetobacter	s:Acinetobacter_gandensis
16Szotu75	zotu75	AF233877_S000389731	d:Bacteria	p:Proteobacteria	c:Betaproteobacteria	o:Burkholderiales	f:Comamonadaceae	g:Comamonas	s:Comamonas_denitrificans
16Szotu77	zotu77	AJ227801_S000112774	d:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Caulobacterales	f:Caulobacteraceae	g:Brevundimonas	s:Brevundimonas_mediterranea
16Szotu80	zotu80	AB041885_S000002852	d:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Pseudomonadales	f:Pseudomonadaceae	g:Pseudomonas	s:Pseudomonas_psychrophila
