Sample-ID	Sample	Lineage	Phase	Development	Development_Phase	Dispersal	Dispersal_Phase	weight_mg	Specials	parental_Productivity	success_rate	Sample_or_Control
A2-04	A2-04	A2	phase1	medium	medium1	early	early1	50	normal	medium	average	True Sample
A2-18	A2-18	A2	phase1	slow	slow1	middle	middle1	130	normal	medium	average	True Sample
A2-30	A2-30	A2	phase1	fast	fast1	late	late1	80	low_Wolbachia	medium	average	True Sample
medium13	medium13	NA	neg	control1	control1	control1	control1	NA	normal	control	control	Control Sample
standard13	standard13	NA	pos	control	control	control	control	NA	normal	control	control	True Sample
negative13	negative13	NA	neg	control2	control2	control2	control2	NA	normal	control	control	Control Sample
A3-03	A3-03	A3	phase1	medium	medium1	early	early1	40	high_Wolbachia	high	average	True Sample
A3-07	A3-07	A3	phase1	slow	slow1	early	early1	40	high_Wolbachia	high	average	True Sample
A3-27	A3-27	A3	phase1	fast	fast1	middle	middle1	90	high_Wolbachia	high	average	True Sample
A3-51	A3-51	A3	phase1	medium	medium1	late	late1	60	low_Wolbachia	high	average	True Sample
B10-13	B10-13	B10	phase1	medium	medium1	early	early1	<10	normal	medium	high	True Sample
B10-14	B10-14	B10	phase1	slow	slow1	early	early1	<10	normal	medium	high	True Sample
B15-15	B15-15	B15	phase1	fast	fast1	early	early1	<10	2nd-attempt_high_Wolbachia_Yersinia	high	high	True Sample
B15-37	B15-37	B15	phase1	medium	medium1	middle	middle1	30	normal	high	high	True Sample
B15-42	B15-42	B15	phase1	medium	medium1	late	late1	120	high_Wolbachia	high	high	True Sample
B16-34	B16-34	B16	phase1	slow	slow1	late	late1	50	normal	medium	average	True Sample
B22-01	B22-01	B22	phase1	medium	medium1	early	early1	60	normal	low	average	True Sample
B22-15	B22-15	B22	phase1	slow	slow1	late	late1	70	2nd-attempt	low	average	True Sample
B23-02	B23-02	B23	phase1	slow	slow1	early	early1	50	normal	high	average	True Sample
B23-10	B23-10	B23	phase1	medium	medium1	early	early1	60	normal	high	average	True Sample
B23-29	B23-29	B23	phase1	medium	medium1	middle	middle1	60	low_Wolbachia_Yersinia	high	average	True Sample
B24-03	B24-03	B24	phase1	medium	medium1	middle	middle1	80	normal	medium	high	True Sample
B24-19	B24-19	B24	phase1	slow	slow1	late 	late1 	30	normal	medium	high	True Sample
