OTUId	A2-02	A2-03	A2-04	A2-12	A2-16	A2-18	A2-19	A2-24	A2-27	A2-30	A3-01	A3-03	A3-07	A3-09	A3-10	A3-15	A3-17	A3-24	A3-25	A3-26	A3-27	A3-35	A3-39	A3-51	B10-13	B10-14	B10-15	B10-16	B10-28	B10-29	B10-30	B15-03	B15-05	B15-08	B15-14	B15-15	B15-27	B15-28	B15-32	B15-34	B15-35	B15-37	B15-42	B15-43	B16-33	B16-34	B22-01	B22-03	B22-05	B22-08	B22-09	B22-13	B22-15	B23-01	B23-02	B23-05	B23-10	B23-12	B23-14	B23-18	B23-28	B23-29	B23-31	B23-32	B24-03	B24-04	B24-05	B24-12	B24-16	B24-17	B24-19	B24-24	B24-25	B24-34	B24-35	B26-03	B26-04	B26-05	B26-11	B31-02	B31-03	B31-05	B31-08	B31-12	B31-13	B31-16	B32-10	B33-03	B36-01	B36-02	B36-04	B36-05	B36-08	B36-11	B36-12	B36-21	B36-25	B36-26	B36-28	B36-37	B36-38	B36-39	B39-01	B39-03	B39-06	B39-08	B39-09	B39-19	B39-20	B39-21	B39-22	B39-27	B39-28	B39-30	B44-01	B44-02	B44-04	B44-10	B44-20	B44-26	B44-27	B44-34	B44-37	B44-44	B44-58	B46-01	B46-05	B46-08	B46-12	B46-13	B46-14	B46-20	B49-02	B49-03	B49-07	B49-08	B49-11	B49-12	B49-15	B49-20	B49-21	B56-01	B56-02	B56-06	B56-15	B56-19	B56-25	B56-37	B56-45	B56-59	medium13	medium1	medium2	medium3	medium4	medium5	medium6	medium7	mock12	negative3	mock2	negative13	negative1	negative2	mock1	negative4	negative5	negative6	standard13	standard1	standard2	standard3	standard4
LSUzotu1	13153	1985	11909	11522	2309	326	9924	17383	14744	3330	4	23	9803	6677	13333	2020	22764	19381	24943	22489	32	7671	9	100	10673	397	6466	28667	4266	16373	16994	27	7035	28257	1890	999	14270	34	8029	25358	20614	6986	78	14834	8825	19126	22064	684	3884	27059	11935	8861	15453	6121	4462	22061	108	13961	2923	2326	11728	150	11650	20484	22	52	39	18100	1904	1863	6794	2323	17621	23	25	26522	18225	26925	15921	17728	25787	24604	25061	26464	20	17	11	22208	77	17169	57	15184	40	2392	38	15559	10590	176	15560	14174	33	493	8134	23232	31	42137	18287	33299	441	9322	12745	53066	5407	90	103	2698	6615	1135	1394	94	49252	8460	5499	19	45760	22016	24510	14787	13858	12259	54676	17409	277	38392	3737	79	27918	24299	36706	233	2525	19314	237	33380	2709	18569	2757	8672	13314	124	58	2061	1	9	3	2	5	15	5288	5	3619	1	418	146	3191	40	12	45	294	2125	16	6	25
LSUzotu15	14	0	230	0	0	0	0	2	39	0	0	0	125	9	4	0	10	24	39	4	0	20	0	0	118	0	0	23	0	16	20	0	2	42	0	2	88	0	0	14	127	60	0	3	0	0	141	0	0	144	0	1	95	0	17	61	0	11	0	8	102	0	86	57	0	10	0	157	3	6	12	10	110	0	0	0	61	0	0	0	0	0	0	0	0	0	0	51	1	33	0	206	0	15	1	7	0	0	29	10	0	0	71	116	0	13	248	80	0	197	202	13	49	0	1	22	111	3	4	0	18	102	50	0	33	0	0	0	0	0	50	0	0	63	27	0	47	4	69	0	11	11	0	74	17	0	6	61	8	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	6	0	0	0	0	0	0	0	0
LSUzotu26	4	41	628	0	49	25	0	3	77	300	0	0	473	105	3	62	8	19	14	0	2	132	0	0	289	10	3	10	1	8	9	0	0	38	0	134	113	0	8	10	85	359	2	0	1	0	85	1	0	88	0	1	424	6	263	28	7	37	3	189	486	19	394	30	4	0	0	99	155	186	9	119	113	0	0	0	23	0	0	0	1	1	0	0	0	0	0	46	0	50	0	591	0	168	0	3	3	34	21	1	0	36	531	64	0	5	376	48	34	356	424	6	249	6	0	16	410	102	60	2	4	312	144	3	5	0	0	0	0	0	23	0	25	26	169	8	37	11	57	13	103	5	11	28	201	1	144	132	1	13	0	0	0	0	0	0	0	0	19	0	4	0	0	0	2	0	0	0	0	0	0	0	0
LSUzotu6	9	736	26	0	324	142	6	12	230	90	2211	8	18	216	6	215	10	21	0	5	218	113	83	134	164	162	192	19	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	10	88	0	1	0	0	0	0	25	204	1	6	311	29	170	600	0	0	60	13	138	8	379	8	840	1145	19	1505	141	0	81	0	30	0	0	0	0	0	5	0	0	0	5232	205	2840	18	133	901	789	672	148	1	8	2143	8	14	74	511	741	72	417	0	161	43	3688	1672	169	8	1372	2140	1	0	0	1	0	0	0	1	0	0	0	1597	251	145	211	30	0	1326	2249	27	343	662	28	11	60	309	220	7	373	32	6	5	868	135	0	287	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
LSUzotu101	1	1	0	0	0	0	0	0	6	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	1	0	0	0	0	1	10	8	0	8	5	0	0	0	4	0	0	0	0	0	0	0	0	0	0	15	0	0	0	26	0	10	0	0	0	0	0	0	0	1	13	1	0	0	11	3	3	62	7	0	42	0	0	0	0	0	0	0	0	0	0	0	0	67	9	13	12	4	0	65	1	1	3	1	0	0	0	1	5	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LSUzotu2	109	11937	16349	7	9133	23336	8	72	5017	24199	14928	22376	14516	11029	40	8844	109	246	491	66	21365	9397	472	10075	10592	6957	3524	396	9455	217	372	5341	3	947	6949	24929	5098	6616	4230	402	1246	12942	20424	13	4	1	1910	6711	4944	1168	10	831	13342	1881	17919	437	22283	1702	8115	13898	16773	20288	11844	349	1871	90	15265	1056	13225	11690	281	11242	1639	0	6437	8	315	6	16	5	6	45	62	1	6	8	0	922	17705	543	27536	16545	11880	8879	18398	139	85	17353	270	87	5876	17380	18735	1207	19343	169	9131	819	13374	10555	8513	52	9061	14709	19163	279	14600	20728	14361	15920	94	11996	9933	9681	159	7	8	23	18	2	397	27	20757	416	8083	14096	623	28	1145	11829	6913	197	8733	395	12860	282	23206	4338	9	17723	24	1558	0	3	1	6	231	6	1338	1	813	16	21	6	376	6	5	3	53	2	0	1	10
LSUzotu116	2	3	6	0	0	0	0	1	1	2	0	0	1	2	0	0	0	0	0	0	0	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	1	5	0	0	0	0	0	0	0	2	2	7	2	12	13	0	0	0	5	0	0	0	0	0	0	0	0	0	0	19	0	0	0	41	0	11	0	3	0	0	1	0	0	0	27	13	0	0	15	1	0	59	1	0	29	0	0	0	0	0	0	0	0	0	0	0	0	117	14	14	20	8	0	72	0	3	7	0	1	0	4	1	0	1	0	3	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LSUzotu18	14	37	842	0	73	30	2	8	139	219	0	0	573	141	3	75	11	45	37	6	0	147	0	0	453	15	4	37	8	18	48	0	0	85	16	80	265	0	14	24	206	461	0	2	0	0	243	6	1	183	0	2	488	11	298	54	5	48	8	195	693	12	609	65	0	5	0	205	116	158	22	144	178	0	0	0	45	0	0	0	0	1	0	0	0	0	0	119	1	69	2	866	0	200	0	14	2	12	21	17	0	37	595	160	2	22	663	90	16	509	641	11	367	3	1	28	478	72	94	3	29	529	201	0	46	0	0	0	0	0	59	0	17	65	190	5	52	5	125	17	120	9	12	78	208	8	126	226	2	9	0	0	0	0	0	0	0	0	24	0	12	0	0	0	3	0	0	0	0	0	0	0	0
LSUzotu66	4	2	0	1	2	0	1	1	16	0	0	0	0	10	0	2	3	5	0	3	0	4	0	0	19	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	1	3	0	1	0	0	0	10	0	0	3	4	0	0	0	5	7	9	0	7	27	0	0	0	13	0	0	0	0	0	1	0	0	0	0	58	1	5	0	63	0	17	0	1	3	3	1	2	0	1	23	10	0	0	30	11	8	107	14	0	82	0	0	0	0	0	0	0	0	0	0	0	0	271	34	41	52	12	0	279	3	6	12	0	5	1	8	0	4	0	0	16	0	0	2	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LSUzotu51	4	13	192	0	16	7	0	0	106	31	0	1	154	71	5	11	7	26	31	3	0	52	0	3	115	0	1	31	0	9	12	0	0	67	3	21	116	0	5	17	69	152	1	2	0	0	111	0	0	60	0	2	109	2	101	32	1	12	2	38	195	1	160	19	0	4	0	142	31	42	11	28	54	0	0	0	34	0	0	0	0	0	0	0	0	0	0	72	0	16	0	190	0	41	0	7	2	4	21	3	0	3	153	101	0	7	198	43	6	141	176	1	85	0	0	6	97	18	22	0	5	130	56	1	9	0	0	0	0	0	30	0	6	19	57	0	24	3	40	1	37	7	0	31	28	2	42	82	0	2	0	0	0	0	0	0	0	0	2	0	7	0	0	0	2	1	0	0	0	0	0	0	0
