		ID	Kingdom	Phylum	Class	Order	Family	Genus	Species
LSUzotu1	zotu1	Cg	k:Fungi	p:Pezizomycotina	c:Sordariomycetes	o:Sordariales	f:Chaetomiaceae	g:Chaetomium	s:Chaetomium_globosum
LSUzotu5	zotu5	27HJ11_05677863_05677863	k:Fungi	p:Pezizomycotina	c:Sordariomycetes	o:Ophiostomatales	f:Ophiostomataceae	g:Raffaelea	s:Raffaelea_sulphurea
LSUzotu2	zotu2	27HJ11_05677863_05677863	k:Fungi	p:Pezizomycotina	c:Sordariomycetes	o:Ophiostomatales	f:Ophiostomataceae	g:Raffaelea	s:Raffaelea_sulphurea
LSUzotu10	zotu10	27HJ11_05677863_05677863	k:Fungi	p:Pezizomycotina	c:Sordariomycetes	o:Ophiostomatales	f:Ophiostomataceae	g:Raffaelea	s:Raffaelea_sulphurea
LSUzotu3	zotu3	27HJ13_05677900_05677900	k:Fungi	p:Pezizomycotina	c:Sordariomycetes	o:Ophiostomatales	f:Ophiostomataceae	g:Raffaelea	s:Raffaelea_canadensis
LSUzotu4	zotu4	Ss	k:Fungi	p:Pezizomycotina	c:Sordariomycetes	o:Ophiostomatales	f:Ophiostomataceae	g:Sporothrix	s:Sporothrix_stenoceras
LSUzotu22	zotu22	Bb	k:Fungi	p:Pezizomycotina	c:Sordariomycetes	o:Hypocreales	f:Cordycipitaceae	g:Beauveria	s:Baeuveria_bassiana
LSUzotu29	zotu29	Pc	k:Fungi	p:Pezizomycotina	c:Eurotiomycetes	o:Eurotiales	f:Trichocomaceae	g:Penicillium	s:Penicillium_commune
LSUzotu56	zotu56	Pc	k:Fungi	p:Pezizomycotina	c:Eurotiomycetes	o:Eurotiales	f:Trichocomaceae	g:Penicillium	s:Penicillium_commune
LSUzotu60	zotu60	27HJ13_05677900_05677900	k:Fungi	p:Pezizomycotina	c:Sordariomycetes	o:Ophiostomatales	f:Ophiostomataceae	g:Raffaelea	s:Raffaelea_canadensis
LSUzotu93	zotu93	Ss	k:Fungi	p:Pezizomycotina	c:Sordariomycetes	o:Ophiostomatales	f:Ophiostomataceae	g:Sporothrix	s:Sporothrix_stenoceras
LSUzotu143	zotu143	Ss	k:Fungi	p:Pezizomycotina	c:Sordariomycetes	o:Ophiostomatales	f:Ophiostomataceae	g:Sporothrix	s:Sporothrix_stenoceras
LSUzotu146	zotu146	Ss	k:Fungi	p:Pezizomycotina	c:Sordariomycetes	o:Ophiostomatales	f:Ophiostomataceae	g:Sporothrix	s:Sporothrix_stenoceras
LSUzotu167	zotu167	Ss	k:Fungi	p:Pezizomycotina	c:Sordariomycetes	o:Ophiostomatales	f:Ophiostomataceae	g:Sporothrix	s:Sporothrix_stenoceras
LSUzotu168	zotu168	Ss	k:Fungi	p:Pezizomycotina	c:Sordariomycetes	o:Ophiostomatales	f:Ophiostomataceae	g:Sporothrix	s:Sporothrix_stenoceras
LSUzotu177	zotu177	Ss	k:Fungi	p:Pezizomycotina	c:Sordariomycetes	o:Ophiostomatales	f:Ophiostomataceae	g:Sporothrix	s:Sporothrix_stenoceras
LSUzotu235	zotu235	Ss	k:Fungi	p:Pezizomycotina	c:Sordariomycetes	o:Ophiostomatales	f:Ophiostomataceae	g:Sporothrix	s:Sporothrix_stenoceras
LSUzotu261	zotu261	Ss	k:Fungi	p:Pezizomycotina	c:Sordariomycetes	o:Ophiostomatales	f:Ophiostomataceae	g:Sporothrix	s:Sporothrix_stenoceras
LSUzotu263	zotu263	Bb	k:Fungi	p:Pezizomycotina	c:Sordariomycetes	o:Hypocreales	f:Cordycipitaceae	g:Beauveria	s:Baeuveria_bassiana
LSUzotu284	zotu284	27HJ15_05677986_05677986	k:Fungi	p:Pezizomycotina	c:Sordariomycetes	o:Microascales	f:Ceratocystidaceae	g:Ambrosiella	s:Ambrosiella_hartigii
LSUzotu293	zotu293	Ss	k:Fungi	p:Pezizomycotina	c:Sordariomycetes	o:Ophiostomatales	f:Ophiostomataceae	g:Sporothrix	s:Sporothrix_stenoceras
LSUzotu298	zotu298	Pc	k:Fungi	p:Pezizomycotina	c:Eurotiomycetes	o:Eurotiales	f:Trichocomaceae	g:Penicillium	s:Penicillium_commune
LSUzotu7	zotu7	MH255544	k:Fungi	p:Ascomycota	c:Dothideomycetes	o:Capnodiales	f:Cladosporiaceae	g:Cladosporium	s:Cladosporium_ramotenellum
LSUzotu11	zotu11	MW198210.1	k:Fungi	p:Ascomycota	c:Sordariomycetes	o:Hypocreales	f:Nectriaceae	g:Dialonectria	
LSUzotu8	zotu8	AF033410	k:Fungi	p:Ascomycota	c:Eurotiomycetes	o:Eurotiales	f:Aspergillaceae	g:Penicillium	s:Penicillium_spinulosum
LSUzotu12	zotu12	AY849953	k:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Phaeosphaeriaceae	g:Phaeosphaeria	s:Phaeosphaeria_vagans
LSUzotu24	zotu24	JN938863	k:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Pleosporaceae	g:Alternaria	s:Alternaria_chartarum
LSUzotu30	zotu30	JN938937	k:Fungi	p:Ascomycota	c:Eurotiomycetes	o:Eurotiales	f:Trichocomaceae	g:Talaromyces	s:Talaromyces_rugulosus
LSUzotu41	zotu41	JN938915	k:Fungi	p:Ascomycota	c:Eurotiomycetes	o:Eurotiales	f:Aspergillaceae	g:Aspergillus	s:Aspergillus_chevalieri
LSUzotu55	zotu55	AY500534	k:Fungi	p:Ascomycota	c:Pezizomycetes	o:Pezizales	f:Pezizaceae	g:Iodophanus	s:Iodophanus_carneus
LSUzotu62	zotu62	AJ301970	k:Fungi	p:Ascomycota	c:Sordariomycetes	o:Glomerellales	f:Glomerellaceae	g:Colletotrichum	s:Colletotrichum_lagenaria
LSUzotu74	zotu74	KP114331	k:Fungi	p:Ascomycota	c:Dothideomycetes	o:Capnodiales	f:Cladosporiaceae	g:Cladosporium	s:Cladosporium_sp._OTU12
LSUzotu83	zotu83	JN939626	k:Fungi	p:Ascomycota	c:Lecanoromycetes	o:Lecanorales	f:Parmeliaceae	g:Parmelia	s:Parmelia_barrenoae
LSUzotu87	zotu87	JN938912	k:Fungi	p:Ascomycota	c:Eurotiomycetes	o:Eurotiales	f:Aspergillaceae	g:Aspergillus	s:Aspergillus_amstelodami
LSUzotu92	zotu92	JN939819	k:Fungi	p:Ascomycota	c:Sordariomycetes	o:Hypocreales	f:Hypocreaceae	g:Trichoderma	s:Trichoderma_sp._2_PC-2011
LSUzotu95	zotu95	JN939831	k:Fungi	p:Ascomycota	c:Sordariomycetes	o:Hypocreales	f:Hypocreaceae	g:Trichoderma	s:Trichoderma_sp._4_PC-2011
LSUzotu94	zotu94	AY004346	k:Fungi	p:Ascomycota	c:Eurotiomycetes	o:Eurotiales	f:Aspergillaceae	g:Aspergillus	s:Aspergillus_ruber
LSUzotu97	zotu97	FN868873	k:Fungi	p:Ascomycota	c:Sordariomycetes	o:Xylariales	f:Xylariaceae	g:Xylaria	s:Xylaria_sp._BLD10
LSUzotu104	zotu104	EU051627	k:Fungi						s:fungal_sp._KF-2
LSUzotu107	zotu107	JN938884	k:Fungi	p:Ascomycota	c:Dothideomycetes	o:Capnodiales	f:Cladosporiaceae	g:Cladosporium	s:Cladosporium_sphaerospermum
LSUzotu123	zotu123	JN938937	k:Fungi	p:Ascomycota	c:Eurotiomycetes	o:Eurotiales	f:Trichocomaceae	g:Talaromyces	s:Talaromyces_rugulosus
LSUzotu134	zotu134	JN938937	k:Fungi	p:Ascomycota	c:Eurotiomycetes	o:Eurotiales	f:Trichocomaceae	g:Talaromyces	s:Talaromyces_rugulosus
LSUzotu153	zotu153	JN941171	k:Fungi	p:Ascomycota	c:Dothideomycetes	o:Capnodiales	f:Mycosphaerellaceae	g:Cercospora	s:Cercospora_cf._apii_CBS_115411
LSUzotu154	zotu154	JN938912	k:Fungi	p:Ascomycota	c:Eurotiomycetes	o:Eurotiales	f:Aspergillaceae	g:Aspergillus	s:Aspergillus_amstelodami
LSUzotu174	zotu174	AY016359	k:Fungi	p:Ascomycota	c:Dothideomycetes	o:Dothideales	f:Saccotheciaceae	g:Columnosphaeria	s:Columnosphaeria_fagi
LSUzotu210	zotu210	JN941457	k:Fungi	p:Ascomycota	c:Sordariomycetes	o:Hypocreales	f:Hypocreaceae	g:Trichoderma	s:Trichoderma_deliquescens
LSUzotu225	zotu225	JN938955	k:Fungi	p:Ascomycota	c:Eurotiomycetes	o:Eurotiales	f:Aspergillaceae	g:Aspergillus	s:Aspergillus_sydowii
LSUzotu247	zotu247	FN868851	k:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Didymellaceae	g:Epicoccum	s:Epicoccum_nigrum
LSUzotu16	zotu16	MG673976.1	k:Fungi	p:Ascomycota	c:Sordariomycetes	o:Ophiostomatales	f:Ophiostomataceae	g:Raffaelea	s:Raffaelea_sulphurea
LSUzotu17	zotu17	EU984299.1	k:Fungi	p:Ascomycota	c:Sordariomycetes	o:Ophiostomatales	f:Ophiostomataceae	g:Raffaelea	s:Raffaelea_canadensis
LSUzotu14	zotu14	EU984299.1	k:Fungi	p:Ascomycota	c:Sordariomycetes	o:Ophiostomatales	f:Ophiostomataceae	g:Raffaelea	s:Raffaelea_canadensis
LSUzotu13	zotu13	EU984299.1	k:Fungi	p:Ascomycota	c:Sordariomycetes	o:Ophiostomatales	f:Ophiostomataceae	g:Raffaelea	s:Raffaelea_canadensis
LSUzotu9	zotu9	MH283164.1	k:Fungi	p:Ascomycota	c:Sordariomycetes	o:Microascales	f:Microascaceae	g:Graphium	
LSUzotu6	zotu6	EU984299.1	k:Fungi	p:Ascomycota	c:Sordariomycetes	o:Ophiostomatales	f:Ophiostomataceae	g:Raffaelea	s:Raffaelea_canadensis
LSUzotu15	zotu15	JN209883.1	k:Fungi	p:Ascomycota	c:Sordariomycetes	o:Sordariales	f:Chaetomiaceae	g:Chaetomium	s:Chaetomium_globosum
LSUzotu19	zotu19	EU984299.1	k:Fungi	p:Ascomycota	c:Sordariomycetes	o:Ophiostomatales	f:Ophiostomataceae	g:Raffaelea	s:Raffaelea_canadensis
LSUzotu25	zotu25	MG673976.1	k:Fungi	p:Ascomycota	c:Sordariomycetes	o:Ophiostomatales	f:Ophiostomataceae	g:Raffaelea	s:Raffaelea_sulphurea
LSUzotu18	zotu18	JN209883.1	k:Fungi	p:Ascomycota	c:Sordariomycetes	o:Sordariales	f:Chaetomiaceae	g:Chaetomium	s:Chaetomium_globosum
LSUzotu21	zotu21	JN209883.1	k:Fungi	p:Ascomycota	c:Sordariomycetes	o:Sordariales	f:Chaetomiaceae	g:Chaetomium	s:Chaetomium_globosum
LSUzotu26	zotu26	MG673976.1	k:Fungi	p:Ascomycota	c:Sordariomycetes	o:Ophiostomatales	f:Ophiostomataceae	g:Raffaelea	s:Raffaelea_sulphurea
LSUzotu20	zotu20	Zotu20	k:Fungi	p:Ascomycota	c:Sordariomycetes	o:Ophiostomatales	f:Ophiostomataceae		
LSUzotu23	zotu23	NG_059682.1	k:Fungi	p:Ascomycota	c:Sordariomycetes	o:Sordariomycetes_incertae_sedis		g:Fantasmomyces	s:Fantasmomyces_hyalinus
LSUzotu27	zotu27	MG673976.1	k:Fungi	p:Ascomycota	c:Sordariomycetes	o:Ophiostomatales	f:Ophiostomataceae	g:Raffaelea	s:Raffaelea_sulphurea
LSUzotu28	zotu28	Zotu28	k:Fungi	p:Ascomycota	c:Sordariomycetes	o:Sordariales	f:Chaetomiaceae		
LSUzotu31	zotu31	MG673976.1	k:Fungi	p:Ascomycota	c:Sordariomycetes	o:Ophiostomatales	f:Ophiostomataceae	g:Raffaelea	s:Raffaelea_sulphurea
LSUzotu33	zotu33	Zotu33	k:Fungi	p:Ascomycota	c:Sordariomycetes	o:Sordariales	f:Chaetomiaceae	g:Chaetomium	
LSUzotu32	zotu32	KY486755.1	k:Fungi	p:Ascomycota	c:Sordariomycetes	o:Togniniales	f:Togniniaceae	g:Phaeoacremonium	
LSUzotu34	zotu34	MG673976.1	k:Fungi	p:Ascomycota	c:Sordariomycetes	o:Ophiostomatales	f:Ophiostomataceae	g:Raffaelea	s:Raffaelea_sulphurea
LSUzotu35	zotu35	HQ688665.1	k:Fungi	p:Ascomycota	c:Sordariomycetes	o:Ophiostomatales	f:Ophiostomataceae	g:Raffaelea	s:Raffaelea_aff._canadensis
LSUzotu36	zotu36	MG673976.1	k:Fungi	p:Ascomycota	c:Sordariomycetes	o:Ophiostomatales	f:Ophiostomataceae	g:Raffaelea	s:Raffaelea_sulphurea
LSUzotu37	zotu37	MG673976.1	k:Fungi	p:Ascomycota	c:Sordariomycetes	o:Ophiostomatales	f:Ophiostomataceae	g:Raffaelea	s:Raffaelea_sulphurea
LSUzotu38	zotu38	NG_058137.1	k:Fungi	p:Ascomycota	c:Sordariomycetes	o:Ophiostomatales	f:Ophiostomataceae	g:Raffaelea	s:Raffaelea_canadensis
LSUzotu39	zotu39	MG673976.1	k:Fungi	p:Ascomycota	c:Sordariomycetes	o:Ophiostomatales	f:Ophiostomataceae	g:Raffaelea	s:Raffaelea_sulphurea
LSUzotu40	zotu40	MG673976.1	k:Fungi	p:Ascomycota	c:Sordariomycetes	o:Ophiostomatales	f:Ophiostomataceae	g:Raffaelea	s:Raffaelea_sulphurea
LSUzotu43	zotu43	NG_058137.1	k:Fungi	p:Ascomycota	c:Sordariomycetes	o:Ophiostomatales	f:Ophiostomataceae	g:Raffaelea	s:Raffaelea_canadensis
LSUzotu42	zotu42	NG_058137.1	k:Fungi	p:Ascomycota	c:Sordariomycetes	o:Togniniales	f:Togniniaceae	g:Phaeoacremonium	
LSUzotu46	zotu46	Zotu46	k:Fungi	p:Ascomycota	c:Sordariomycetes	o:Sordariales	f:Chaetomiaceae		
LSUzotu45	zotu45	HQ688665.1	k:Fungi	p:Ascomycota	c:Sordariomycetes	o:Ophiostomatales	f:Ophiostomataceae	g:Raffaelea	s:Raffaelea_aff._canadensis
LSUzotu47	zotu47	MG673976.1	k:Fungi	p:Ascomycota	c:Sordariomycetes	o:Ophiostomatales	f:Ophiostomataceae	g:Raffaelea	s:Raffaelea_sulphurea
LSUzotu44	zotu44	MN002870.1	k:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Phaeosphaeriaceae		
LSUzotu48	zotu48	KC425281.2	k:Fungi	p:Ascomycota	c:Sordariomycetes	o:Sordariales	f:Chaetomiaceae	g:Chaetomium	
LSUzotu49	zotu49	KC425281.2	k:Fungi	p:Ascomycota	c:Sordariomycetes	o:Microascales	f:Microascaceae	g:Graphium	
LSUzotu50	zotu50	Zotu50	k:Fungi	p:Ascomycota	c:Sordariomycetes	o:Ophiostomatales	f:Ophiostomataceae	g:Leptographium	
LSUzotu52	zotu52	EU984299.1	k:Fungi	p:Ascomycota	c:Sordariomycetes	o:Ophiostomatales	f:Ophiostomataceae	g:Raffaelea	s:Raffaelea_canadensis
LSUzotu51	zotu51	Zotu51	k:Fungi	p:Ascomycota	c:Sordariomycetes				
LSUzotu57	zotu57	EU984299.1	k:Fungi	p:Ascomycota	c:Sordariomycetes	o:Ophiostomatales	f:Ophiostomataceae	g:Raffaelea	s:Raffaelea_canadensis
LSUzotu54	zotu54	MT215553.1	k:Fungi	p:Ascomycota	c:Sordariomycetes	o:Hypocreales	f:Nectriaceae		
LSUzotu59	zotu59	MG673976.1	k:Fungi	p:Ascomycota	c:Sordariomycetes	o:Ophiostomatales	f:Ophiostomataceae	g:Raffaelea	s:Raffaelea_sulphurea
LSUzotu53	zotu53	Zotu53	k:Fungi	p:Ascomycota	c:Eurotiomycetes	o:Chaetothyriales	f:Herpotrichiellaceae	g:Cladophialophora	
LSUzotu58	zotu58	Zotu58	k:Fungi	p:Ascomycota	c:Sordariomycetes	o:Hypocreales	f:Bionectriaceae	g:Gliomastix	
LSUzotu61	zotu61	Zotu61	k:Fungi	p:Ascomycota	c:Sordariomycetes	o:Sordariales	f:Chaetomiaceae		
LSUzotu63	zotu63	Zotu63	k:Fungi	p:Ascomycota	c:Sordariomycetes				
LSUzotu67	zotu67	EU984299.1	k:Fungi	p:Ascomycota	c:Sordariomycetes	o:Ophiostomatales	f:Ophiostomataceae	g:Raffaelea	s:Raffaelea_canadensis
LSUzotu64	zotu64	Zotu64	k:Fungi	p:Ascomycota	c:Sordariomycetes				
LSUzotu68	zotu68	MG673976.1	k:Fungi	p:Ascomycota	c:Sordariomycetes	o:Ophiostomatales	f:Ophiostomataceae	g:Raffaelea	s:Raffaelea_sulphurea
LSUzotu66	zotu66	Zotu66	k:Fungi	p:Ascomycota	c:Sordariomycetes	o:Sordariales	f:Chaetomiaceae		
LSUzotu65	zotu65	Zotu65	k:Fungi	p:Ascomycota	c:Sordariomycetes				
LSUzotu69	zotu69	JF909537.1	k:Fungi	p:Ascomycota	c:Sordariomycetes	o:Ophiostomatales	f:Ophiostomataceae	g:Raffaelea	
LSUzotu70	zotu70	MG673976.1	k:Fungi	p:Ascomycota	c:Sordariomycetes	o:Ophiostomatales	f:Ophiostomataceae	g:Raffaelea	s:Raffaelea_sulphurea
LSUzotu71	zotu71	Zotu71	k:Fungi	p:Ascomycota	c:Sordariomycetes				
